Dataset,Repository,# Folder,# Distinct PRs,Ratio
commit_data,0,189,143,1.32
commit_data,1,88,80,1.1
commit_data,2,22,18,1.22
commit_data,3,17,14,1.21
commit_data,4,69,68,1.01
commit_data,5,479,437,1.1
commit_data,6,43,39,1.1
commit_data,7,1857,1628,1.14
commit_data,8,747,673,1.11
commit_data,9,65,49,1.33
commit_data_removed_empty,0,151,143,1.06
commit_data_removed_empty,1,87,80,1.09
commit_data_removed_empty,2,21,18,1.17
commit_data_removed_empty,3,14,14,1.0
commit_data_removed_empty,4,68,68,1.0
commit_data_removed_empty,5,451,437,1.03
commit_data_removed_empty,6,41,39,1.05
commit_data_removed_empty,7,1641,1628,1.01
commit_data_removed_empty,8,724,673,1.08
commit_data_removed_empty,9,59,49,1.2
commit_data_removed_empty_and_only_comments,0,109,101,1.08
commit_data_removed_empty_and_only_comments,1,71,65,1.09
commit_data_removed_empty_and_only_comments,2,15,13,1.15
commit_data_removed_empty_and_only_comments,3,13,13,1.0
commit_data_removed_empty_and_only_comments,4,58,58,1.0
commit_data_removed_empty_and_only_comments,5,422,412,1.02
commit_data_removed_empty_and_only_comments,6,41,39,1.05
commit_data_removed_empty_and_only_comments,7,1575,1562,1.01
commit_data_removed_empty_and_only_comments,8,691,642,1.08
commit_data_removed_empty_and_only_comments,9,51,42,1.21
